faostat_country_code,m49_code,country,year,production_tonnes,production_flag,area_harvested_ha,area_harvested_flag,yield_kg_ha,yield_flag
2,004,Afghanistan,1961,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1962,1100.0,E,600.0,E,1833.3,E
2,004,Afghanistan,1963,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1964,1100.0,E,600.0,E,1833.3,E
2,004,Afghanistan,1965,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1966,1100.0,E,600.0,E,1833.3,E
2,004,Afghanistan,1967,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1968,1200.0,E,600.0,E,2000.0,E
2,004,Afghanistan,1969,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1970,1200.0,E,600.0,E,2000.0,E
2,004,Afghanistan,1971,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1972,1200.0,E,600.0,E,2000.0,E
2,004,Afghanistan,1973,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1974,1300.0,E,600.0,E,2166.7,E
2,004,Afghanistan,1975,1000.0,E,600.0,E,1666.7,E
2,004,Afghanistan,1976,1336.0,A,600.0,E,2226.7,E
2,004,Afghanistan,1977,1375.0,A,600.0,E,2291.7,E
2,004,Afghanistan,1978,1319.0,A,623.0,A,2117.2,A
2,004,Afghanistan,1979,900.0,E,800.0,E,1125.0,E
2,004,Afghanistan,1980,1170.0,A,1000.0,E,1170.0,E
2,004,Afghanistan,1981,1000.0,E,1200.0,E,833.3,E
2,004,Afghanistan,1982,800.0,E,1250.0,E,640.0,E
2,004,Afghanistan,1983,500.0,E,1300.0,E,384.6,E
2,004,Afghanistan,1984,194.0,A,1385.0,A,140.1,A
2,004,Afghanistan,1985,803.0,A,1385.0,A,579.8,A
2,004,Afghanistan,1986,2001.0,A,1385.0,A,1444.8,A
2,004,Afghanistan,1987,900.0,E,1300.0,E,692.3,E
2,004,Afghanistan,1988,1070.0,A,1300.0,E,823.1,E
2,004,Afghanistan,1989,800.0,E,1300.0,E,615.4,E
2,004,Afghanistan,1990,1100.0,E,1420.0,E,774.6,E
2,004,Afghanistan,1991,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,1992,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,1993,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,1994,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,1995,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,1996,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,1997,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,1998,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,1999,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,2000,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,2001,900.0,A,1300.0,A,692.3,A
2,004,Afghanistan,2002,1100.0,A,1300.0,A,846.2,A
2,004,Afghanistan,2003,2400.0,A,2400.0,A,1000.0,A
2,004,Afghanistan,2004,2550.0,A,1000.0,A,2550.0,A
2,004,Afghanistan,2005,2712.0,A,1105.0,A,2454.3,A
2,004,Afghanistan,2006,1592.0,A,2300.0,A,692.2,A
2,004,Afghanistan,2007,1592.0,A,2300.0,A,692.2,A
2,004,Afghanistan,2008,5800.0,E,2300.0,A,2521.7,E
2,004,Afghanistan,2009,9000.0,A,2000.0,A,4500.0,A
2,004,Afghanistan,2010,7300.0,A,2200.0,A,3318.2,A
2,004,Afghanistan,2011,6600.0,A,2200.0,A,3000.0,A
2,004,Afghanistan,2012,6600.0,A,2200.0,A,3000.0,A
2,004,Afghanistan,2013,6684.79,I,2200.0,A,3038.5,E
2,004,Afghanistan,2014,6916.19,I,2200.0,A,3143.7,E
2,004,Afghanistan,2015,7472.33,I,2200.0,A,3396.5,E
2,004,Afghanistan,2016,8000.6,I,2200.0,A,3636.6,E
2,004,Afghanistan,2017,7463.04,E,2209.0,I,3377.9,E
2,004,Afghanistan,2018,7645.32,E,2208.0,I,3462.2,E
2,004,Afghanistan,2019,7926.57,I,2206.0,I,3593.7,E
2,004,Afghanistan,2020,7678.31,E,2163.0,I,3549.1,E
2,004,Afghanistan,2021,7750.07,E,2192.0,E,3534.9,E
2,004,Afghanistan,2022,7954.92,I,2187.0,E,3637.0,E
2,004,Afghanistan,2023,8031.1,I,2181.0,E,3682.2,E
2,004,Afghanistan,2024,7912.03,E,2187.0,E,3617.9,E
3,008,Albania,1961,17800.0,E,18600.0,A,957.0,E
3,008,Albania,1962,27000.0,E,19400.0,A,1391.8,E
3,008,Albania,1963,27200.0,E,21000.0,A,1295.2,E
3,008,Albania,1964,48000.0,E,22900.0,A,2096.1,E
3,008,Albania,1965,30000.0,E,25100.0,A,1195.2,E
3,008,Albania,1966,32000.0,E,26400.0,A,1212.1,E
3,008,Albania,1967,33000.0,E,29800.0,A,1107.4,E
3,008,Albania,1968,34000.0,E,31400.0,A,1082.8,E
3,008,Albania,1969,31000.0,E,32800.0,A,945.1,E
