country,year,production_tonnes,production_flag,area_harvested_ha,area_harvested_flag,yield_kg_ha,yield_flag
Spain,1961,1863400.0,A,,M,,
Spain,1962,1641000.0,A,,M,,
Spain,1963,3124300.0,A,,M,,
Spain,1964,572700.0,A,,M,,
Spain,1965,1656100.0,A,,M,,
Spain,1966,2101500.0,A,,M,,
Spain,1967,1372000.0,A,,M,,
Spain,1968,2274300.0,A,,M,,
Spain,1969,1738300.0,A,,M,,
Spain,1970,2100000.0,A,,M,,
Spain,1971,1744000.0,A,,M,,
Spain,1972,2309500.0,A,,M,,
Spain,1973,2249400.0,A,,M,,
Spain,1974,1640200.0,A,,M,,
Spain,1975,2357700.0,A,,M,,
Spain,1976,2138800.0,A,,M,,
Spain,1977,1934200.0,A,,M,,
Spain,1978,2780700.0,A,,M,,
Spain,1979,2300100.0,A,,M,,
Spain,1980,2255000.0,A,1156500.0,A,1949.8,A
Spain,1981,1520800.0,A,2045000.0,A,743.7,A
Spain,1982,3337900.0,A,2045800.0,A,1631.6,A
Spain,1983,1328400.0,A,2050400.0,A,647.9,A
Spain,1984,3525400.0,A,2039100.0,A,1728.9,A
Spain,1985,1989500.0,A,2051000.0,A,970.0,A
Spain,1986,2556800.0,A,2063000.0,A,1239.4,A
Spain,1987,3879000.0,A,2057000.0,A,1885.8,A
Spain,1988,2223700.0,A,2035000.0,A,1092.7,A
Spain,1989,2945700.0,A,2054000.0,A,1434.1,A
Spain,1990,3369300.0,A,2064000.0,A,1632.4,A
Spain,1991,2983000.0,A,2074000.0,A,1438.3,A
Spain,1992,3177900.0,A,2051000.0,A,1549.4,A
Spain,1993,2809907.0,A,2092000.0,A,1343.2,A
Spain,1994,2799000.0,A,2094000.0,A,1336.7,A
Spain,1995,1694200.0,A,2119395.0,A,799.4,A
Spain,1996,4517200.0,A,2125630.0,A,2125.1,A
Spain,1997,5879640.0,A,2207556.0,A,2663.4,A
Spain,1998,4279180.0,A,2194000.0,A,1950.4,A
Spain,1999,3460100.0,A,2200000.0,A,1572.8,A
Spain,2000,4943800.0,A,2300000.0,E,2149.5,E
Spain,2001,6762600.0,A,2400000.0,E,2817.8,E
Spain,2002,4414911.0,A,2430582.0,A,1816.4,A
Spain,2003,7553566.0,A,2439582.0,A,3096.3,A
Spain,2004,5200029.0,A,2464774.0,A,2109.7,A
Spain,2005,4021720.0,A,2465258.0,A,1631.4,A
Spain,2006,5679021.0,A,2483697.0,A,2286.5,A
