country,crop_year,crop_year_start,entity_type,year_status,production_tonnes,consumption_tonnes,exports_tonnes,imports_tonnes
Spain,1990/91,1990,country,reported,639400.0,394100.0,65800.0,26700.0
Spain,1991/92,1991,country,reported,593000.0,418700.0,62800.0,31000.0
Spain,1992/93,1992,country,reported,623100.0,421400.0,51600.0,13100.0
Spain,1993/94,1993,country,reported,550900.0,421000.0,54600.0,54000.0
Spain,1994/95,1994,country,reported,538800.0,420000.0,54000.0,61600.0
Spain,1995/96,1995,country,reported,337600.0,352100.0,48800.0,24000.0
Spain,1996/97,1996,country,reported,947300.0,470200.0,66700.0,35500.0
Spain,1997/98,1997,country,reported,1077000.0,550400.0,76200.0,28000.0
Spain,1998/99,1998,country,reported,791900.0,528500.0,63600.0,81500.0
Spain,1999/00,1999,country,reported,669100.0,502600.0,87700.0,13200.0
Spain,2000/01,2000,country,reported,973700.0,580800.0,88300.0,15800.0
Spain,2001/02,2001,country,reported,1411400.0,631200.0,112500.0,1600.0
Spain,2002/03,2002,country,reported,861100.0,591300.0,107000.0,18200.0
Spain,2003/04,2003,country,reported,1412000.0,613900.0,114200.0,49400.0
Spain,2004/05,2004,country,reported,989800.0,615700.0,110900.0,39200.0
Spain,2005/06,2005,country,reported,826900.0,477800.0,99000.0,48000.0
Spain,2006/07,2006,country,reported,1111400.0,538700.0,124800.0,67900.0
Spain,2007/08,2007,country,reported,1236100.0,546300.0,133900.0,40300.0
Spain,2008/09,2008,country,reported,1030000.0,533600.0,153400.0,10800.0
Spain,2009/10,2009,country,reported,1401500.0,539400.0,196500.0,13700.0
Spain,2010/11,2010,country,reported,1391900.0,554200.0,196200.0,14700.0
Spain,2011/12,2011,country,reported,1615000.0,574000.0,248000.0,14200.0
Spain,2012/13,2012,country,reported,618200.0,486900.0,197600.0,54700.0
Spain,2013/14,2013,country,reported,1781500.0,524800.0,289700.0,14400.0
Spain,2014/15,2014,country,reported,842200.0,492200.0,236800.0,104700.0
Spain,2015/16,2015,country,reported,1403300.0,494500.0,297800.0,47300.0
Spain,2016/17,2016,country,reported,1290600.0,442900.0,291200.0,41000.0
Spain,2017/18,2017,country,reported,1262200.0,478100.0,292000.0,99400.0
Spain,2018/19,2018,country,reported,1789900.0,525700.0,355800.0,84000.0
Spain,2019/20,2019,country,reported,1125300.0,518600.0,420700.0,151900.0
Spain,2020/21,2020,country,reported,1389000.0,541100.0,464600.0,100700.0
Spain,2021/22,2021,country,reported,1493000.0,579900.0,468100.0,85600.0
Spain,2022/23,2022,country,reported,665800.0,363200.0,316500.0,97800.0
Spain,2023/24,2023,country,reported,854000.0,402300.0,332400.0,108600.0
Spain,2024/25,2024,country,provisional,1289900.0,460000.0,415500.0,92800.0
Türkiye,1990/91,1990,country,reported,80000.0,55000.0,10000.0,0.0
Türkiye,1991/92,1991,country,reported,60000.0,50000.0,10500.0,0.0
Türkiye,1992/93,1992,country,reported,56000.0,50000.0,5500.0,1500.0
Türkiye,1993/94,1993,country,reported,48000.0,54000.0,9000.0,0.0
Türkiye,1994/95,1994,country,reported,160000.0,55000.0,55000.0,0.0
Türkiye,1995/96,1995,country,reported,40000.0,63000.0,19000.0,0.0
Türkiye,1996/97,1996,country,reported,200000.0,75000.0,40500.0,0.0
Türkiye,1997/98,1997,country,reported,40000.0,85500.0,35000.0,0.0
Türkiye,1998/99,1998,country,reported,170000.0,85000.0,86000.0,1000.0
Türkiye,1999/00,1999,country,reported,70000.0,60000.0,16500.0,2000.0
Türkiye,2000/01,2000,country,reported,175000.0,72500.0,92000.0,0.0
Türkiye,2001/02,2001,country,reported,65000.0,55000.0,28000.0,0.0
Türkiye,2002/03,2002,country,reported,140000.0,50000.0,74000.0,0.0
Türkiye,2003/04,2003,country,reported,79000.0,46000.0,46000.0,0.0
Türkiye,2004/05,2004,country,reported,145000.0,60000.0,93500.0,0.0
Türkiye,2005/06,2005,country,reported,112000.0,50000.0,73000.0,0.0
Türkiye,2006/07,2006,country,reported,165000.0,80000.0,45000.0,0.0
Türkiye,2007/08,2007,country,reported,72000.0,85000.0,15000.0,0.0
Türkiye,2008/09,2008,country,reported,130000.0,108000.0,31000.0,0.0
Türkiye,2009/10,2009,country,reported,147000.0,110000.0,29500.0,0.0
Türkiye,2010/11,2010,country,reported,160000.0,131000.0,12000.0,0.0
Türkiye,2011/12,2011,country,reported,191000.0,150000.0,20000.0,0.0
Türkiye,2012/13,2012,country,reported,195000.0,150000.0,92000.0,0.0
Türkiye,2013/14,2013,country,reported,135000.0,105000.0,35000.0,0.0
Türkiye,2014/15,2014,country,reported,160000.0,125000.0,30000.0,0.0
Türkiye,2015/16,2015,country,reported,150000.0,116000.0,15000.0,0.0
Türkiye,2016/17,2016,country,reported,178000.0,150000.0,45000.0,0.0
Türkiye,2017/18,2017,country,reported,263000.0,176500.0,66000.0,0.0
Türkiye,2018/19,2018,country,reported,193500.0,163000.0,55000.0,0.0
Türkiye,2019/20,2019,country,reported,230000.0,170000.0,45000.0,0.0
Türkiye,2020/21,2020,country,reported,193500.0,150000.0,42000.0,0.0
Türkiye,2021/22,2021,country,reported,235000.0,170000.0,58000.0,0.0
Türkiye,2022/23,2022,country,reported,451000.0,165000.0,150000.0,0.0
Türkiye,2023/24,2023,country,reported,215000.0,165000.0,69000.0,0.0
Türkiye,2024/25,2024,country,provisional,450000.0,200000.0,150000.0,0.0
