faostat,m49 code,Country,Item Code,Item,Year,Yield (kg/ha),Yield (kg/ha) flag,Production (tonnes),Production (tonnes) flag,Area harvested (ha),Area harvested (ha) flag
68,250,France,260,Olives,1961,44.9,A,2009,A,44756,A
124,434,Libya,260,Olives,1961,,,35100,A,,M
138,484,Mexico,260,Olives,1961,1419.6,A,3691,A,2600,A
231,840,United States of America,260,Olives,1961,3498.2,A,39915,A,11410,A
248,890,Yugoslav SFR,260,Olives,1961,,,28300,A,,M
106,380,Italy,260,Olives,1961,1831.1,E,2250000,A,1228800,X
170,604,Peru,260,Olives,1961,4070,A,12210,A,3000,A
2,4,Afghanistan,260,Olives,1961,1666.7,E,1000,E,600,E
9,32,Argentina,260,Olives,1961,,,36000,A,,M
10,36,Australia,260,Olives,1961,992.6,A,1080,A,1088,A
143,504,Morocco,260,Olives,1961,900.6,E,139600,A,155000,E
212,760,Syrian Arab Republic,260,Olives,1961,1037.5,E,83000,A,80000,E
214,158,"China, Taiwan Province of",260,Olives,1961,6860.2,A,1276,A,186,A
3,8,Albania,260,Olives,1961,957,E,17800,E,18600,A
4,12,Algeria,260,Olives,1961,,,160000,A,,A
60,222,El Salvador,260,Olives,1961,652.2,A,1500,A,2300,A
102,364,Iran (Islamic Republic of),260,Olives,1961,3000,E,15000,X,5000,E
105,376,Israel,260,Olives,1961,2080,E,20800,A,10000,E
112,400,Jordan,260,Olives,1961,1802,E,114428,A,63500,E
134,470,Malta,260,Olives,1961,1071.4,E,15,E,14,E
59,818,Egypt,260,Olives,1961,3058.6,E,8564,A,2800,E
174,620,Portugal,260,Olives,1961,,,867000,A,,M
222,788,Tunisia,260,Olives,1961,350,E,189000,A,540000,E
40,152,Chile,260,Olives,1961,,,20000,E,,M
118,414,Kuwait,260,Olives,1961,,,,A,,A
21,76,Brazil,260,Olives,1961,,,442,A,,M
50,196,Cyprus,260,Olives,1961,1373,E,27940,A,20350,X
121,422,Lebanon,260,Olives,1961,2407.4,E,65000,A,27000,E
103,368,Iraq,260,Olives,1961,,,8000,X,,M
234,858,Uruguay,260,Olives,1961,,,1692,A,,M
84,300,Greece,260,Olives,1961,,,1502500,A,,M
223,792,Türkiye,260,Olives,1961,1759.4,A,689324,A,391800,A
203,724,Spain,260,Olives,1961,,,1863400,A,,M
2,4,Afghanistan,260,Olives,1962,1833.3,E,1100,E,600,E
105,376,Israel,260,Olives,1962,960,E,4800,A,5000,E
138,484,Mexico,260,Olives,1962,1575.3,A,4266,A,2708,A
174,620,Portugal,260,Olives,1962,,,370000,A,,M
203,724,Spain,260,Olives,1962,,,1641000,A,,M
214,158,"China, Taiwan Province of",260,Olives,1962,10471.9,A,1864,A,178,A
103,368,Iraq,260,Olives,1962,,,8000,X,,M
118,414,Kuwait,260,Olives,1962,,,,A,,A
248,890,Yugoslav SFR,260,Olives,1962,,,17700,A,,M
