Haverst period,Country,Product Type,Indicator,Tonnes
1990/91,Algeria,OO,C,7.0
1990/91,Algeria,OO,E,0.0
1990/91,Algeria,OO,I,0.0
1990/91,Algeria,OO,P,6.0
1990/91,Argentina,OO,C,4.0
1990/91,Argentina,OO,E,4.0
1990/91,Argentina,OO,I,0.0
1990/91,Argentina,OO,P,8.0
1990/91,Australia,OO,C,13.5
1990/91,Australia,OO,E,0.0
1990/91,Australia,OO,I,13.5
1990/91,Brazil,OO,C,13.5
1990/91,Brazil,OO,E,0.0
1990/91,Brazil,OO,I,13.5
1990/91,Canada,OO,C,10.0
1990/91,Canada,OO,I,10.0
1990/91,Chile,OO,E,0.0
1990/91,Cyprus,OO,C,2.0
1990/91,Cyprus,OO,E,0.0
1990/91,Cyprus,OO,I,0.0
1990/91,Cyprus,OO,P,2.0
1990/91,Denmark,OO,C,0.7
1990/91,Denmark,OO,E,0.0
1990/91,Denmark,OO,I,0.0
1990/91,Denmark,TO,C,0.7
1990/91,Denmark,TO,E,0.0
1990/91,Denmark,TO,I,0.0
1990/91,E.B.L.U.,OO,C,2.1
1990/91,E.B.L.U.,OO,E,0.1
1990/91,E.B.L.U.,OO,I,0.1
1990/91,E.B.L.U.,TO,C,2.3
1990/91,E.B.L.U.,TO,E,0.0
1990/91,E.B.L.U.,TO,I,1.2
1990/91,Egypt,OO,C,1.5
1990/91,Egypt,OO,E,0.0
1990/91,Egypt,OO,I,1.0
1990/91,Egypt,OO,P,0.5
1990/91,EU,OO,C,1.0
1990/91,EU,OO,E,146.0
1990/91,EU,OO,I,125.5
1990/91,EU,OO,P,994.0
1990/91,France,OO,C,28.0
1990/91,France,OO,E,0.9
1990/91,France,OO,I,2.7
1990/91,France,OO,P,1.0
1990/91,France,TO,C,31.7
1990/91,France,TO,E,0.9
1990/91,France,TO,I,28.2
1990/91,France,TO,P,1.0
1990/91,Germany,OO,C,10.3
1990/91,Germany,OO,E,0.2
1990/91,Germany,OO,I,0.1
1990/91,Germany,TO,C,15.8
1990/91,Germany,TO,E,0.2
1990/91,Germany,TO,I,4.3
1990/91,Greece,OO,C,204.0
1990/91,Greece,OO,E,6.0
1990/91,Greece,OO,I,0.0
1990/91,Greece,OO,P,170.0
1990/91,Greece,TO,C,33.0
1990/91,Greece,TO,E,22.0
1990/91,Greece,TO,I,0.0
1990/91,Greece,TO,P,70.0
1990/91,Iran,OO,C,2.5
1990/91,Iran,OO,E,0.0
1990/91,Iran,OO,I,2.0
1990/91,Iran,OO,P,0.5
1990/91,Iraq,OO,E,0.0
1990/91,Ireland,OO,C,0.5
1990/91,Ireland,OO,E,0.0
1990/91,Ireland,OO,I,0.0
1990/91,Ireland,TO,C,0.0
1990/91,Ireland,TO,E,0.0
1990/91,Ireland,TO,I,0.0
1990/91,Israel,OO,C,6.0
1990/91,Israel,OO,E,0.0
1990/91,Israel,OO,I,0.0
1990/91,Israel,OO,P,8.0
1990/91,Italy,OO,C,540.0
1990/91,Italy,OO,E,66.5
1990/91,Italy,OO,I,95.7
1990/91,Italy,OO,P,163.3
1990/91,Italy,TO,C,138.0
1990/91,Italy,TO,E,0.4
1990/91,Italy,TO,I,6.3
1990/91,Italy,TO,P,44.5
1990/91,Japan,OO,C,4.0
1990/91,Japan,OO,I,4.0
1990/91,Jordan,OO,C,9.5
1990/91,Jordan,OO,E,0.5
1990/91,Jordan,OO,I,1.0
1990/91,Jordan,OO,P,8.0
1990/91,Lebanon,OO,C,7.5
1990/91,Lebanon,OO,E,0.0
1990/91,Lebanon,OO,I,1.5
1990/91,Lebanon,OO,P,6.0
1990/91,Libya,OO,C,13.5
1990/91,Libya,OO,E,0.0
1990/91,Libya,OO,I,5.0
1990/91,Libya,OO,P,7.0
1990/91,Mexico,OO,C,4.0
1990/91,Mexico,OO,E,0.0
1990/91,Mexico,OO,I,1.5
1990/91,Mexico,OO,P,2.5
1990/91,Montenegro,OO,C,6.0
1990/91,Montenegro,OO,E,0.0
1990/91,Montenegro,OO,I,3.0
1990/91,Montenegro,OO,P,3.5
1990/91,Morocco,OO,C,37.0
1990/91,Morocco,OO,E,1.5
1990/91,Morocco,OO,I,0.0
1990/91,Morocco,OO,P,36.0
1990/91,Netherlands,OO,C,1.0
1990/91,Netherlands,OO,E,0.1
1990/91,Netherlands,OO,I,0.1
1990/91,Netherlands,TO,C,2.5
1990/91,Netherlands,TO,E,0.0
1990/91,Netherlands,TO,I,1.0
1990/91,Oth.non-prod.,OO,C,21.0
1990/91,Oth.non-prod.,OO,I,21.0
1990/91,Other pr.coun.,OO,C,15.5
1990/91,Other pr.coun.,OO,E,10.5
1990/91,Other pr.coun.,OO,I,3.0
1990/91,Other pr.coun.,OO,P,32.0
1990/91,Portugal,OO,C,27.0
1990/91,Portugal,OO,E,6.4
1990/91,Portugal,OO,I,0.0
1990/91,Portugal,OO,P,20.0
1990/91,Portugal,TO,C,19.0
1990/91,Portugal,TO,E,2.7
1990/91,Portugal,TO,I,0.0
1990/91,Portugal,TO,P,18.0
1990/91,Russia,OO,C,5.0
1990/91,Russia,OO,I,5.0
1990/91,Saudi Arabia,OO,C,6.5
1990/91,Saudi Arabia,OO,E,0.0
1990/91,Saudi Arabia,OO,I,6.5
1990/91,Spain,OO,C,394.1
1990/91,Spain,OO,E,65.8
1990/91,Spain,OO,I,26.7
1990/91,Spain,OO,P,639.4
1990/91,Spain,TO,C,100.0
1990/91,Spain,TO,E,86.4
1990/91,Spain,TO,I,0.0
1990/91,Spain,TO,P,230.0
1990/91,Switzerland,OO,C,3.0
1990/91,Switzerland,OO,E,0.0
1990/91,Switzerland,OO,I,3.0
1990/91,Syria,OO,C,62.0
1990/91,Syria,OO,E,0.0
1990/91,Syria,OO,I,0.0
1990/91,Syria,OO,P,83.0
1990/91,Tunisia,OO,C,54.5
1990/91,Tunisia,OO,E,161.5
1990/91,Tunisia,OO,I,0.0
1990/91,Tunisia,OO,P,175.0
1990/91,Türkiye,OO,C,55.0
1990/91,Türkiye,OO,E,10.0
1990/91,Türkiye,OO,I,0.0
1990/91,Türkiye,OO,P,80.0
1990/91,United King.,OO,C,6.8
1990/91,United King.,OO,E,0.1
1990/91,United King.,OO,I,0.1
1990/91,United King.,TO,C,3.4
1990/91,United King.,TO,E,0.0
1990/91,United King.,TO,I,0.5
1990/91,USA,OO,C,88.0
1990/91,USA,OO,E,3.0
1990/91,USA,OO,I,90.0
1990/91,USA,OO,P,1.0
1991/92,Algeria,OO,C,27.0
1991/92,Algeria,OO,E,0.0
1991/92,Algeria,OO,I,0.0
1991/92,Algeria,OO,P,37.0
1991/92,Argentina,OO,C,4.0
1991/92,Argentina,OO,E,5.0
1991/92,Argentina,OO,I,0.0
1991/92,Argentina,OO,P,9.0
1991/92,Australia,OO,C,12.5
1991/92,Australia,OO,E,0.0
1991/92,Australia,OO,I,12.5
1991/92,Brazil,OO,C,11.0
1991/92,Brazil,OO,E,0.0
1991/92,Brazil,OO,I,11.0
1991/92,Canada,OO,C,10.0
1991/92,Canada,OO,I,10.0
1991/92,Chile,OO,E,0.0
1991/92,Cyprus,OO,C,2.0
1991/92,Cyprus,OO,E,0.0
1991/92,Cyprus,OO,I,0.0
1991/92,Cyprus,OO,P,1.5
1991/92,Denmark,OO,C,1.2
1991/92,Denmark,OO,E,0.0
1991/92,Denmark,OO,I,0.0
1991/92,Denmark,TO,C,1.0
1991/92,Denmark,TO,E,0.0
1991/92,Denmark,TO,I,0.0
1991/92,E.B.L.U.,OO,C,2.6
1991/92,E.B.L.U.,OO,E,0.2
1991/92,E.B.L.U.,OO,I,0.2
1991/92,E.B.L.U.,TO,C,2.5
1991/92,E.B.L.U.,TO,E,0.0
1991/92,E.B.L.U.,TO,I,1.2
1991/92,Egypt,OO,C,1.0
1991/92,Egypt,OO,E,0.0
1991/92,Egypt,OO,I,0.0
1991/92,Egypt,OO,P,1.0
1991/92,EU,OO,C,214.5
1991/92,EU,OO,E,174.0
1991/92,EU,OO,I,135.5
1991/92,EU,OO,P,1719.0
1991/92,France,OO,C,34.8
1991/92,France,OO,E,1.0
1991/92,France,OO,I,13.9
1991/92,France,OO,P,4.3
1991/92,France,TO,C,35.1
1991/92,France,TO,E,1.0
1991/92,France,TO,I,29.2
1991/92,France,TO,P,2.7
1991/92,Germany,OO,C,9.8
1991/92,Germany,OO,E,0.7
1991/92,Germany,OO,I,0.1
1991/92,Germany,TO,C,15.8
1991/92,Germany,TO,E,0.2
1991/92,Germany,TO,I,4.8
1991/92,Greece,OO,C,203.0
1991/92,Greece,OO,E,12.8
1991/92,Greece,OO,I,0.1
1991/92,Greece,OO,P,385.0
1991/92,Greece,TO,C,20.0
1991/92,Greece,TO,E,13.0
1991/92,Greece,TO,I,0.0
1991/92,Greece,TO,P,80.0
1991/92,Iran,OO,C,3.0
1991/92,Iran,OO,E,0.0
1991/92,Iran,OO,I,2.0
1991/92,Iran,OO,P,0.5
1991/92,Iraq,OO,E,0.0
1991/92,Ireland,OO,C,0.8
1991/92,Ireland,OO,E,0.0
1991/92,Ireland,OO,I,0.0
1991/92,Ireland,TO,C,0.0
1991/92,Ireland,TO,E,0.0
1991/92,Ireland,TO,I,0.0
1991/92,Israel,OO,C,5.0
1991/92,Israel,OO,E,0.0
1991/92,Israel,OO,I,1.0
1991/92,Israel,OO,P,2.5
1991/92,Italy,OO,C,630.0
1991/92,Italy,OO,E,90.1
1991/92,Italy,OO,I,90.0
1991/92,Italy,OO,P,674.5
1991/92,Italy,TO,C,144.0
1991/92,Italy,TO,E,0.5
1991/92,Italy,TO,I,3.7
1991/92,Italy,TO,P,100.0
1991/92,Japan,OO,C,4.5
1991/92,Japan,OO,I,4.5
1991/92,Jordan,OO,C,11.5
1991/92,Jordan,OO,E,1.0
1991/92,Jordan,OO,I,8.5
1991/92,Jordan,OO,P,5.0
1991/92,Lebanon,OO,C,7.0
1991/92,Lebanon,OO,E,0.0
1991/92,Lebanon,OO,I,3.5
1991/92,Lebanon,OO,P,5.0
1991/92,Libya,OO,C,19.0
1991/92,Libya,OO,E,0.0
1991/92,Libya,OO,I,10.0
1991/92,Libya,OO,P,10.0
1991/92,Mexico,OO,C,4.0
1991/92,Mexico,OO,E,0.0
1991/92,Mexico,OO,I,2.0
1991/92,Mexico,OO,P,2.0
1991/92,Montenegro,OO,C,3.0
1991/92,Montenegro,OO,E,0.0
1991/92,Montenegro,OO,I,0.5
1991/92,Montenegro,OO,P,2.0
1991/92,Morocco,OO,C,49.0
1991/92,Morocco,OO,E,5.0
1991/92,Morocco,OO,I,1.0
1991/92,Morocco,OO,P,50.0
1991/92,Netherlands,OO,C,1.5
1991/92,Netherlands,OO,E,0.1
1991/92,Netherlands,OO,I,0.1
1991/92,Netherlands,TO,C,3.1
1991/92,Netherlands,TO,E,0.0
1991/92,Netherlands,TO,I,1.1
1991/92,Oth.non-prod.,OO,C,35.0
1991/92,Oth.non-prod.,OO,I,35.0
1991/92,Other pr.coun.,OO,C,17.5
1991/92,Other pr.coun.,OO,E,2.5
1991/92,Other pr.coun.,OO,I,3.0
1991/92,Other pr.coun.,OO,P,9.0
1991/92,Portugal,OO,C,45.0
1991/92,Portugal,OO,E,6.1
1991/92,Portugal,OO,I,0.0
1991/92,Portugal,OO,P,62.0
1991/92,Portugal,TO,C,20.5
1991/92,Portugal,TO,E,3.1
1991/92,Portugal,TO,I,0.2
1991/92,Portugal,TO,P,23.0
1991/92,Russia,OO,C,9.0
1991/92,Russia,OO,I,9.0
1991/92,Saudi Arabia,OO,C,7.0
1991/92,Saudi Arabia,OO,E,0.0
1991/92,Saudi Arabia,OO,I,7.0
1991/92,Spain,OO,C,418.7
1991/92,Spain,OO,E,62.8
1991/92,Spain,OO,I,31.0
1991/92,Spain,OO,P,593.0
1991/92,Spain,TO,C,110.0
1991/92,Spain,TO,E,89.5
1991/92,Spain,TO,I,0.4
1991/92,Spain,TO,P,268.3
1991/92,Switzerland,OO,C,3.0
1991/92,Switzerland,OO,E,0.0
1991/92,Switzerland,OO,I,3.0
1991/92,Syria,OO,C,66.0
1991/92,Syria,OO,E,0.0
1991/92,Syria,OO,I,0.0
1991/92,Syria,OO,P,42.0
1991/92,Tunisia,OO,C,60.0
1991/92,Tunisia,OO,E,96.5
1991/92,Tunisia,OO,I,0.0
1991/92,Tunisia,OO,P,250.0
1991/92,Türkiye,OO,C,50.0
1991/92,Türkiye,OO,E,10.5
1991/92,Türkiye,OO,I,0.0
1991/92,Türkiye,OO,P,60.0
1991/92,United King.,OO,C,9.4
1991/92,United King.,OO,E,0.1
1991/92,United King.,OO,I,0.0
1991/92,United King.,TO,C,3.8
1991/92,United King.,TO,E,0.0
1991/92,United King.,TO,I,0.5
1991/92,USA,OO,C,79.0
1991/92,USA,OO,E,9.0
1991/92,USA,OO,I,87.5
1991/92,USA,OO,P,0.5
1992/93,Algeria,OO,C,30.0
1992/93,Algeria,OO,E,0.0
1992/93,Algeria,OO,I,0.0
1992/93,Algeria,OO,P,27.0
1992/93,Argentina,OO,C,4.5
1992/93,Argentina,OO,E,5.5
1992/93,Argentina,OO,I,0.0
1992/93,Argentina,OO,P,10.0
1992/93,Australia,OO,C,16.0
1992/93,Australia,OO,E,0.0
